nivel,tipo,curso,semestre,matriculados
Doutorado,Acadêmico,Botânica,2021-2,5
Doutorado,Acadêmico,Botânica,2022-1,0
Doutorado,Acadêmico,Botânica,2022-2,5
Doutorado,Acadêmico,Botânica,2023-1,3
Doutorado,Acadêmico,Botânica,2023-2,2
Doutorado,Acadêmico,Botânica,2024-1,6
Doutorado,Acadêmico,Ciência da Computação,2010-1,0
Doutorado,Acadêmico,Ciência da Computação,2010-2,0
Doutorado,Acadêmico,Ciência da Computação,2011-1,0
Doutorado,Acadêmico,Ciência da Computação,2011-2,0
Doutorado,Acadêmico,Ciência da Computação,2012-1,0
Doutorado,Acadêmico,Ciência da Computação,2012-2,0
Doutorado,Acadêmico,Ciência da Computação,2013-1,0
Doutorado,Acadêmico,Ciência da Computação,2013-2,0
Doutorado,Acadêmico,Ciência da Computação,2014-1,0
Doutorado,Acadêmico,Ciência da Computação,2014-2,0
Doutorado,Acadêmico,Ciência da Computação,2015-1,0
Doutorado,Acadêmico,Ciência da Computação,2015-2,0
Doutorado,Acadêmico,Ciência da Computação,2016-1,0
Doutorado,Acadêmico,Ciência da Computação,2016-2,0
Doutorado,Acadêmico,Ciência da Computação,2017-1,0
Doutorado,Acadêmico,Ciência da Computação,2017-2,0
Doutorado,Acadêmico,Ciência da Computação,2018-1,0
Doutorado,Acadêmico,Ciência da Computação,2018-2,0
Doutorado,Acadêmico,Ciência da Computação,2019-1,8
Doutorado,Acadêmico,Ciência da Computação,2019-2,0
Doutorado,Acadêmico,Ciência da Computação,2020-1,5
Doutorado,Acadêmico,Ciência da Computação,2020-2,1
Doutorado,Acadêmico,Ciência da Computação,2021-1,6
Doutorado,Acadêmico,Ciência da Computação,2021-2,0
Doutorado,Acadêmico,Ciência da Computação,2022-1,2
Doutorado,Acadêmico,Ciência da Computação,2022-2,3
Doutorado,Acadêmico,Ciência da Computação,2023-1,1
Doutorado,Acadêmico,Ciência da Computação,2023-2,2
Doutorado,Acadêmico,Ciência da Computação,2024-1,2
Doutorado,Acadêmico,Ciência da Nutrição,2010-1,8
Doutorado,Acadêmico,Ciência da Nutrição,2010-2,4
Doutorado,Acadêmico,Ciência da Nutrição,2011-1,11
Doutorado,Acadêmico,Ciência da Nutrição,2011-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2012-1,9
Doutorado,Acadêmico,Ciência da Nutrição,2012-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2013-1,12
Doutorado,Acadêmico,Ciência da Nutrição,2013-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2014-1,9
Doutorado,Acadêmico,Ciência da Nutrição,2014-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2015-1,12
Doutorado,Acadêmico,Ciência da Nutrição,2015-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2016-1,22
Doutorado,Acadêmico,Ciência da Nutrição,2016-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2017-1,12
Doutorado,Acadêmico,Ciência da Nutrição,2017-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2018-1,9
Doutorado,Acadêmico,Ciência da Nutrição,2018-2,1
Doutorado,Acadêmico,Ciência da Nutrição,2019-1,9
Doutorado,Acadêmico,Ciência da Nutrição,2019-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2020-1,9
Doutorado,Acadêmico,Ciência da Nutrição,2020-2,0
Doutorado,Acadêmico,Ciência da Nutrição,2021-1,11
Doutorado,Acadêmico,Ciência da Nutrição,2021-2,4
Doutorado,Acadêmico,Ciência da Nutrição,2022-1,3
Doutorado,Acadêmico,Ciência da Nutrição,2022-2,5
Doutorado,Acadêmico,Ciência da Nutrição,2023-1,5
Doutorado,Acadêmico,Ciência da Nutrição,2023-2,12
Doutorado,Acadêmico,Ciência da Nutrição,2024-1,6
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2010-1,13
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2010-2,21
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2011-1,6
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2011-2,8
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2012-1,3
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2012-2,6
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2013-1,10
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2013-2,12
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2014-1,10
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2014-2,12
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2015-1,15
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2015-2,3
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2016-1,5
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2016-2,5
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2017-1,12
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2017-2,11
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2018-1,5
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2018-2,10
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2019-1,17
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2019-2,3
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2020-1,12
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2020-2,3
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2021-1,5
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2021-2,5
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2022-1,7
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2022-2,8
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2023-1,10
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2023-2,8
Doutorado,Acadêmico,Ciência e Tecnologia de Alimentos,2024-1,5
Doutorado,Acadêmico,Ciência Florestal,2010-1,7
